region,Year,Population,GDP per Capita,Urban Population,Life Expectancy,Surface Area,Literacy Rate
europe,2015,32520.0,,100.0,80.427,10.0,
africa,2016,19275498.0,665.786328598963,28.134,59.326,274220.0,
asia,2015,51483949.0,1159.34020074533,29.858,65.561,676590.0,
europe,2015,9799186.0,51545.4836095322,86.553,82.2048780487805,528449.29,
americas,2017,3422200.0,18995.3970195554,95.24,77.625,176220.0,98.61572265625
asia,2015,210969298.0,1421.83527830089,36.026,65.697,796100.0,
europe,2015,33570.0,42281.8112549264,96.739,,60.0,
europe,2015,162190.0,,30.962,81.433,198.0,
americas,2016,43590368.0,12790.2641396135,91.627,76.308,2780400.0,
europe,2015,622159.0,6517.19267514764,65.806,76.4487804878049,13810.0,
asia,2015,10877.0,3384.38320147639,59.73,64.06,30.0,
americas,2017,122839258.0,9693.33009125499,79.867,74.138,1964375.0,94.9727783203125
europe,2016,8736668.0,45307.5878620429,57.905,81.6414634146342,83879.0,
americas,2015,10405832.0,6838.93674590634,78.566,72.953,48670.0,91.9912109375
americas,2015,278083.0,17023.6943646321,31.249,76.65,430.0,
europe,2015,2063531.0,20890.1664304173,53.781,80.7756097560976,20675.0,
africa,2015,11194299.0,1071.77776475545,18.852,55.566,646883.0,
americas,2016,9460798.0,2295.53627000423,55.813,72.588,112490.0,88.9874801635742
americas,2015,3957099.0,13669.5594424097,66.696,77.468,75320.0,
americas,2015,65237.0,102005.62564189,100.0,80.918,4290.0,
americas,2015,320738994.0,56762.7294515989,81.671,78.690243902439,9831510.0,
africa,2015,3946220.0,1562.72683648828,51.089,64.485,1030700.0,
africa,2015,730216.0,1322.93677459988,28.47,62.896,1861.0,
asia,2016,31847900.0,2704.67718852896,50.65,70.755,448924.0,99.986572265625
asia,2015,9494246.0,4064.25301043642,90.256,75.011,89320.0,
africa,2015,20128124.0,481.111301105002,16.247,61.083,1267000.0,
europe,2015,5423801.0,16390.8821748507,53.889,76.5634146341463,49030.0,
africa,2015,26843246.0,603.838513777915,34.4,58.151,799380.0,56.0390014648438
americas,2015,104257.0,28419.2645344661,43.108,75.683,180.0,
asia,2015,11185.0,7587.25441038889,100.0,62.269,20.0,
europe,2015,330815.0,52951.6815110898,93.7,82.4682926829268,103000.0,
asia,2015,23815995.0,56758.8692027821,85.701,82.4,7741220.0,
europe,2016,11331422.0,42012.6227191016,97.919,81.4390243902439,30530.0,
americas,2015,29366.0,,46.583,75.675,150.0,
asia,2015,37757813.0,4416.94292408042,69.921,69.44,435052.0,
asia,2015,2414573.0,66984.9102002396,98.945,80.064,11490.0,
africa,2015,23596741.0,1941.58189772117,49.444,57.762,322460.0,
asia,2015,49410.0,3703.64905889496,75.811,63.827,180.0,
americas,2015,47790.0,20025.652352499,30.827,70.763,260.0,
africa,2016,29154746.0,1809.70937719455,64.149,61.092,1246700.0,
africa,2015,2028517.0,7090.45463394942,88.118,65.46,267670.0,
asia,2015,1205813.0,1322.9290943123,29.49,67.137,14870.0,
asia,2015,116707.0,1459.14398299206,51.619,66.059,810.0,
asia,2015,917200.0,5105.18961191892,54.726,66.844,18270.0,
europe,2015,81686611.0,41103.2564363768,77.2,80.6414634146341,357410.0,
asia,2015,109462.0,2891.32210264749,22.456,71.408,700.0,
europe,2015,60730582.0,30242.3861352184,69.565,82.5439024390244,302069.0,
asia,2015,21336697.0,3990.35311739446,18.256,74.927,65610.0,
americas,2015,70007.0,7724.04241057376,69.579,68.727,750.0,
africa,2015,11642959.0,733.887472832132,17.004,65.298,26340.0,
europe,2015,9843028.0,12717.038597002,70.5,75.5682926829269,93030.0,
asia,2017,34193122.0,20910.4829617971,83.622,77.16,2149690.0,95.3286285400391
americas,2017,3325286.0,31108.7527508912,93.587,79.258,8870.0,92.3899993896484
africa,2015,14356181.0,1238.12639978389,45.862,66.879,196710.0,
asia,2016,50448.0,13300.8246114811,87.198,,200.0,
asia,2017,756121.0,3427.17384450869,40.167,70.847,38394.0,66.561149597168
africa,2015,7473229.0,770.143379256632,40.1,59.396,56790.0,63.7456207275391
africa,2015,2305171.0,5869.73757890628,67.155,63.818,581730.0,
europe,2015,65116219.0,44964.3911437292,82.626,80.9560975609756,243610.0,
africa,2015,18718019.0,632.12668582235,27.53,58.845,274220.0,
