Gaming_Platform,YoR,Sales_NA,Sales_EU,Sales_JP,Other_Sales,Genre
X360,2008.0,0.04,0.0,0.01,0.0,Action
XOne,2016.0,0.02,0.03,0.0,0.0,Action
WiiU,2016.0,0.0,0.01,0.0,0.0,Adventure
N64,1993.0,0.45,0.94,0.82,0.6,Platform
DS,2008.0,0.0,0.0,0.04,0.0,Adventure
PS2,2008.0,0.0,0.0,0.02,0.0,Adventure
PS2,2004.0,0.02,0.01,0.0,0.0,Action
DS,2009.0,0.42,0.0,0.0,0.0,Action
DS,2010.0,0.53,0.35,0.0,0.09,Action
PS3,2008.0,0.14,0.01,0.0,0.02,Action
DS,2011.0,0.04,0.04,0.0,0.01,Adventure
PS3,2012.0,0.82,0.0,0.0,0.07,Action
PS2,2010.0,0.0,0.0,0.01,0.0,Adventure
GBA,2002.0,0.0,0.0,0.14,0.0,Action
PS3,2009.0,0.65,0.4,0.0,0.19,Action
GC,2002.0,0.96,0.53,0.3,0.09,Adventure
X360,2009.0,2.2,0.95,0.02,0.31,Action
DS,2008.0,0.0,0.0,0.06,0.0,Action
PS3,2011.0,0.0,0.0,0.18,0.0,Action
X360,2011.0,0.13,0.06,0.0,0.02,Action
PSP,2009.0,0.18,0.2,0.0,0.12,Action
X360,2007.0,0.29,0.02,0.0,0.03,Action
X360,2008.0,0.71,0.69,0.02,0.18,Action
XOne,2016.0,0.0,0.01,0.0,0.0,Action
PS2,2010.0,0.0,0.0,0.02,0.0,Adventure
DS,,0.34,0.25,0.0,0.07,Action
PSP,2010.0,0.05,0.01,0.05,0.01,Action
DS,2012.0,0.0,0.0,,0.0,Action
DS,2010.0,0.25,0.17,0.0,0.04,Adventure
DS,2008.0,0.07,0.03,0.0,0.01,Platform
PS3,2010.0,0.1,0.04,0.04,0.02,Action
GC,2004.0,0.26,0.07,0.0,0.01,Platform
PS,1999.0,0.12,0.08,0.0,0.01,Action
PS2,2005.0,0.1,0.08,0.0,0.03,Action
PS4,2014.0,0.08,0.07,0.06,0.03,Action
Wii,2008.0,0.46,0.47,0.0,0.11,Action
PS2,2004.0,0.2,0.16,0.0,0.05,Action
